Name,Runs,Mins,Ball_Faced,Fours,Sixes,SR,Inns,Opposition,Ground,Date
RG Sharma,37,71,37,6,0,100.00,1,,v England,Pune
S Dhawan,67,80,56,10,0,119.64,1,,v England,Pune
V Kohli,7,14,10,1,0,70.00,1,,v England,Pune
RR Pant,78,79,62,5,4,125.80,1,,v England,Pune
KL Rahul,7,27,18,0,0,38.88,1,,v England,Pune
HH Pandya,64,63,44,5,4,145.45,1,,v England,Pune
KH Pandya,25,56,34,0,0,73.52,1,,v England,Pune
SN Thakur,30,35,21,1,3,142.85,1,,v England,Pune
B Kumar,3,13,5,0,0,60.00,1,,v England,Pune
M Prasidh Krishna,0,4,3,0,0,0.00,1,,v England,Pune
T Natarajan,0*,2,0,0,0,-,1,,v England,Pune
RG Sharma,25,38,25,5,0,100.00,1,,v England,Pune
S Dhawan,4,18,17,0,0,23.52,1,,v England,Pune
V Kohli,66,110,79,3,1,83.54,1,,v England,Pune
KL Rahul,108,156,114,7,2,94.73,1,,v England,Pune
RR Pant,77,79,40,3,7,192.50,1,,v England,Pune
HH Pandya,35,30,16,1,4,218.75,1,,v England,Pune
KH Pandya,12*,17,9,1,0,133.33,1,,v England,Pune
SN Thakur,0*,1,0,0,0,-,1,,v England,Pune
M Prasidh Krishna,DNB,-,-,-,-,-,1,,v England,Pune
Kuldeep Yadav,DNB,-,-,-,-,-,1,,v England,Pune
B Kumar,DNB,-,-,-,-,-,1,,v England,Pune
RG Sharma,28,79,42,4,0,66.66,1,,v England,Pune
S Dhawan,98,180,106,11,2,92.45,1,,v England,Pune
V Kohli,56,65,60,6,0,93.33,1,,v England,Pune
SS Iyer,6,16,9,1,0,66.66,1,,v England,Pune
KL Rahul,62*,84,43,4,4,144.18,1,,v England,Pune
HH Pandya,1,13,9,0,0,11.11,1,,v England,Pune
KH Pandya,58*,52,31,7,2,187.09,1,,v England,Pune
Kuldeep Yadav,DNB,-,-,-,-,-,1,,v England,Pune
M Prasidh Krishna,DNB,-,-,-,-,-,1,,v England,Pune
B Kumar,DNB,-,-,-,-,-,1,,v England,Pune
SN Thakur,DNB,-,-,-,-,-,1,,v England,Pune
S Dhawan,16,-,27,2,0,59.25,1,,v Australia,Canberra
Shubman Gill,33,-,39,3,1,84.61,1,,v Australia,Canberra
V Kohli,63,-,78,5,0,80.76,1,,v Australia,Canberra
SS Iyer,19,-,21,2,0,90.47,1,,v Australia,Canberra
KL Rahul,5,-,11,0,0,45.45,1,,v Australia,Canberra
HH Pandya,92*,-,76,7,1,121.05,1,,v Australia,Canberra
RA Jadeja,66*,-,50,5,3,132.00,1,,v Australia,Canberra
SN Thakur,DNB,-,-,-,-,-,1,,v Australia,Canberra
T Natarajan,DNB,-,-,-,-,-,1,,v Australia,Canberra
JJ Bumrah,DNB,-,-,-,-,-,1,,v Australia,Canberra
Kuldeep Yadav,DNB,-,-,-,-,-,1,,v Australia,Canberra
MA Agarwal,28,-,26,4,0,107.69,2,,v Australia,Sydney
S Dhawan,30,-,23,5,0,130.43,2,,v Australia,Sydney
V Kohli,89,-,87,7,2,102.29,2,,v Australia,Sydney
SS Iyer,38,-,36,5,0,105.55,2,,v Australia,Sydney
KL Rahul,76,-,66,4,5,115.15,2,,v Australia,Sydney
HH Pandya,28,-,31,1,1,90.32,2,,v Australia,Sydney
